bizdate,daypower,totalpower
20160911,448032.05,72405826.02
20160912,468334.44,72874160.46
20160913,460967.98,73335128.44
20160914,476428.14,73811556.58
20160915,437904.59,74249461.17
20160916,418693.11,74668154.28
20160917,429633.86,75097788.14
20160918,453994.05,75551782.19
20160919,443820.53,75995602.72
20160920,444024.3,76439627.02
20160921,438698.03,76878325.05
20160922,449707.83,77328032.88
20160923,456869.58,77784902.46
20160924,451788.72,78236691.18
20160925,431225.01,78667916.19
20160926,460471.8,79128387.99
20160927,462227.6,79590615.59
20160928,441409.02,80032024.61
20160929,447395.19,80479419.8
20160930,461687.76,80941107.56
20161001,461441.09,81402548.65
20161002,436635.57,81839184.22
20161003,438158.25,82277342.47
20161004,435249.79,82712592.26
20161005,435064.23,83147656.49
20161006,429876.77,83577533.26
20161007,443297.63,84020830.89
20161008,452665.37,84473496.26
20161009,451359.77,84924856.03
20161010,455900.26,85380756.29
20161011,452197.96,85832954.25
20161012,453351.12,86286305.37
20161013,458346.09,86744651.46
20161014,469870.29,87214521.75
20161015,464236.4,87678758.15
20161016,447621.09,88126379.24
20161017,463914.53,88590293.77
20161018,470236.7,89060530.47
20161019,462925.53,89523456
20161020,470082.13,89993538.13
20161021,486075.05,90479613.18
20161022,483694.98,90963308.16
20161023,488809.95,91452118.11
20161024,515225.53,91967343.64
20161025,509039.37,92476383.01
20161026,514403.21,92990786.22
20161027,519213.99,93510000.21
20161028,532153.76,94042153.97
20161029,531262,94573415.97
20161030,511777.96,95085193.93
20161031,536428.69,95621622.62
20161101,541734.37,96163356.99
20161102,535396.06,96698753.05
20161103,540676.9,97239429.95
20161104,520953.51,97760383.46
20161105,504299.03,98264682.49
20161106,490218.96,98754901.45
20161107,545761.29,99300662.74
20161108,562898.39,99863561.13
20161109,577284.93,100440846.1
20161110,564946.78,101005792.8
20161111,555999.91,101561792.8
20161112,530253.51,102092046.3
20161113,506262.41,102598308.7
20161114,534506.13,103132814.8
20161115,551810.19,103684625
20161116,551341.66,104235966.7
20161117,545661.68,104781628.3
20161118,561914.32,105343542.7
20161119,537194.87,105880737.5
20161120,531195.17,106411932.7
20161121,568021.65,106979954.3
20161122,646492.58,107626446.9
20161123,683850.9,108310297.8
20161124,654329.72,108964627.5
20161125,644106.79,109608734.3
20161126,600842.12,110209576.5
20161127,582842.07,110792418.5
20161128,612744.07,111405162.6
20161129,630456.99,112035619.6
20161130,622728.68,112658348.3
20161201,622887.79,113281236.1
20161202,630170.45,113911406.5
20161203,603269.17,114514675.7
20161204,576641.2,115091316.9
20161205,624941.5,115716258.4
20161206,637744.49,116354002.9
20161207,637654.26,116991657.1
20161208,630852.35,117622509.5
20161209,651278.92,118273788.4
20161210,623538.81,118897327.2
20161211,631304.59,119528631.8
20161212,643714.74,120172346.5
20161213,685387.02,120857733.6
20161214,684211.3,121541944.9
20161215,698654.31,122240599.2
20161216,676369.5,122916968.7
20161217,671717.82,123588686.5
20161218,634035.93,124222722.4
20161219,674989.88,124897712.3
20161220,678987.55,125576699.8
20161221,713592.35,126290292.2
20161222,703377.54,126993669.7
20161223,713982.13,127707651.9
20161224,700182.55,128407834.4
20161225,716256.94,129124091.4
20161226,747528.5,129871619.9
20161227,754133.73,130625753.6
20161228,758689.52,131384443.1
20161229,770839.29,132155282.4
20161230,762714.17,132917996.6
20161231,724018.64,133642015.2
20170101,697940.2,134339955.4
20170102,690125.51,135030080.9
20170103,736793.54,135766874.5
20170104,737090.79,136503965.2
20170105,747480.78,137251446
20170106,782257.98,138033704
20170107,760019.13,138793723.1
20170108,747305.39,139541028.5
20170109,787378.36,140328406.9
20170110,818588.12,141146995
20170111,816215.26,141963210.3
20170112,814103.1,142777313.4
20170113,810175.89,143587489.3
20170114,790801.7,144378291
20170115,792132.93,145170423.9
20170116,779954.72,145950378.6
20170117,814516.04,146764894.6
20170118,835262.17,147600156.8
20170119,826359.78,148426516.6
20170120,854361.46,149280878.1
20170121,824540.82,150105418.9
20170122,813383.92,150918802.8
20170123,744472.59,151663275.4
20170124,777240.2,152440515.6
20170125,781982.16,153222497.7
20170126,714228.23,153936726
20170127,730000,154493012.2
20170128,732373,154942405.8
20170129,722132,155457680.6
20170130,763434,156079978.6
20170131,753438,156735663.1
20170201,723333,157409413.6
20170202,712856.98,158122270.5
20170203,746212.15,158868482.7
20170204,768563,159637045.7
20170205,747248.66,160384294.4
20170206,791692.73,161175987.1
20170207,832674.51,162008661.6
20170208,874830.83,162883492.4
20170209,879401.14,163762893.6
20170210,855652.27,164618545.8
20170211,805531.05,165424076.9
20170212,778936.04,166203012.9
20170213,811717.61,167014730.5
20170214,801597.14,167816327.7
20170215,803465.43,168619793.1
20170216,779711.85,169399505
20170217,821967.31,170221472.3
20170218,809995.98,171031468.2
20170219,760721.68,171792189.9
20170220,805944.42,172598134.3
20170221,910557.33,173508691.7
20170222,890862.02,174399553.7
20170223,875136.86,175274690.6
20170224,867778.07,176142468.6
20170225,819110.2,176961578.8
20170226,772029.42,177733608.2
20170227,817064.87,178550673.1
20170228,812651.69,179363324.8
20170301,819591.13,180182915.9
20170302,849499.98,181032415.9
20170303,841135.59,181873551.5
20170304,806185.72,182679737.2
20170305,794447.24,183474184.5
20170306,862647.15,184336831.6
20170307,863339.67,185200171.3
20170308,852698.25,186052869.5
20170309,853723.17,186906592.7
20170310,836350.28,187742943
20170311,810838.29,188553781.3
20170312,798555.79,189352337.1
20170313,916912.93,190269250
20170314,891867.37,191161117.4
20170315,856674.49,192017791.9
20170316,867333.78,192885125.6
20170317,869845.91,193754971.5
20170318,842032.43,194597004
20170319,830141.51,195427145.5
20170320,879112.83,196306258.3
20170321,883584.38,197189842.7
20170322,890128.68,198079971.4
20170323,904255.01,198984226.4
20170324,915948.94,199900175.3
20170325,893329.63,200793505
20170326,833104.5,201626609.5
20170327,875608.18,202502217.6
20170328,859448.83,203361666.5
20170329,868923.45,204230589.9
20170330,873627.28,205104217.2
20170331,896150.44,206000367.6
20170401,879924.08,206880291.7
20170402,839541.97,207719833.7
20170403,829901.89,208549735.6
20170404,819744.1,209369479.7
20170405,875361.6,210244841.3
20170406,869165.18,211114006.5
20170407,877012.61,211991019.1
20170408,850613.56,212841632.6
20170409,856466.38,213698099
20170410,916823.42,214614922.4
20170411,920972.17,215535894.6
20170412,892852.93,216428747.5
20170413,893216.57,217321964.1
20170414,894211.24,218216175.3
20170415,880036.58,219096211.9
20170416,863183.79,219959395.7
20170417,889833.16,220849228.9
20170418,914918.07,221764146.9
20170419,911254.41,222675401.3
20170420,891082.62,223566484
20170421,921595.79,224488079.8
20170422,889679.45,225377759.2
20170423,875410.02,226253169.2
20170424,904385.33,227157554.6
20170425,906086.18,228063640.7
20170426,932601.52,228996242.3
20170427,919316.62,229915558.9
20170428,952156.08,230867715
20170429,956326.44,231824041.4
20170430,935449.49,232759490.9
20170501,941346.04,233700836.9
20170502,956490.7,234657327.6
20170503,948312.27,235605639.9
20170504,931092.12,236536732
20170505,943579.76,237480311.8
20170506,914832.97,238395144.7
20170507,914257.63,239309402.4
20170508,962290.2,240271692.6
20170509,957147.24,241228839.8
20170510,986492.85,242215332.7
20170511,1001940.82,243217273.5
20170512,998597.46,244215870.9
20170513,1017470.25,245233341.2
20170514,987466.65,246220807.8
20170515,977535.77,247198343.6
20170516,970331.07,248168674.7
20170517,1007440.51,249176115.2
20170518,1028542.16,250204657.4
20170519,1038496.67,251243154
20170520,1014310.69,252257464.7
20170521,1003954.42,253261419.1
20170522,1032439.79,254293858.9
20170523,990398.76,255284257.7
20170524,987799.24,256272056.9
20170525,1013752.3,257285809.2
20170526,1042388.59,258328197.8
20170527,1096355.67,259424553.5
20170528,1120180.66,260544734.1
20170529,1083072.68,261627806.8
20170530,1033973.27,262661780.1
20170531,1089359.05,263751139.1
20170601,1086338.23,264837477.4
20170602,1104931.67,265942409
20170603,1034939.87,266977348.9
20170604,982966.16,267960315.1
20170605,1016822.05,268977137.1
20170606,1024193.51,270001330.6
20170607,1061224.52,271062555.2
20170608,1074725.86,272137281
20170609,1101033.11,273238314.1
20170610,1048093.4,274286264.5
20170611,1016820.87,275303016.1
20170612,1063293.92,276365824.5
20170613,1019093.43,277383966.7
20170614,1041656.68,278422612.7
20170615,1064239.36,279485347.3
20170616,1114169.68,280597679.5
20170617,1106941.05,281701886.5
20170618,1063749.61,282763502.4
20170619,1098229.38,283858512.7
20170620,1126213.74,284981487.8
20170621,1145750.09,286122104.4
20170622,1116157.75,287233653.8
20170623,1104410.24,288331927
20170624,1088938.81,289414997.7
20170625,1080600.16,290489239.7
20170626,1158459.1,291640323.3
20170627,1172432.23,292806405.4
20170628,1188514.43,293986070
20170629,1194504.74,295171971.1
20170630,1174285.29,296336955
20170701,1147376.12,297471959.1
20170702,1129529.52,298584977.5
20170703,1209382.43,299776644.2
20170704,1230589.39,300986704.5
20170705,1237915.09,302207579.6
20170706,1208981.26,303397971.3
20170707,1209367.23,304587585.9
20170708,1228824.9,305795014.8
20170709,1173195.84,306948501.8
20170710,1220427.99,308147499.9
20170711,1300225.22,309421850.3
20170712,1336942.45,310726868.1
20170713,1365056.21,312058493
20170714,1323155.17,313348008.1
20170715,1251001.16,314565909
20170716,1218151.87,315748400.9
20170717,1293999.53,317006622.7
20170718,1316195.55,318280934
20170719,1321897.51,319559390
20170720,1366784.51,320884064.4
20170721,1352022.5,322185714.3
20170722,1315853.68,323455163.9
20170723,1297092.34,324708144.3
20170724,1347063.45,326007163.6
20170725,1361126.91,327315071.7
20170726,1347222.9,328609586.9
20170727,1353047.83,329906433.6
20170728,1320445.56,331171017.9
20170729,1255363.76,332365789.4
20170730,1200099.79,333510541.7
20170731,1256604.33,334708223.4
20170801,1285084.26,335929469.8
20170802,1275318.17,337135310.9
20170803,1319547.52,338379381.1
20170804,1368803.05,339664134.5
20170805,1361171.88,340941039.2
20170806,1330115.06,342188359.8
20170807,1401409.01,343499806.6
20170808,1310935.67,344719345.1
20170809,1333863.76,345961165.8
20170810,1342900.74,347209718.1
20170811,1381127.84,348492899.9
20170812,1287755.94,349688763.7
20170813,1208838.82,350804962.1
20170814,1301310.01,352007821.2
20170815,1328094.59,353233146
20170816,1344468.02,354466887.7
20170817,1364196.6,355722346.2
20170818,1401334.26,357011614.3
20170819,1333739.67,358234904
20170820,1305727.35,359432528.6
20170821,1401582.9,360721179
20170822,1409017.46,362009192.4
20170823,1408569.83,363301266.6
20170824,1417976.16,364600400.8
20170825,1384308.5,365861984.9
20170826,1298998.82,367043552.7
20170827,1268873.11,368193292.6
20170828,1367339.24,369438619.6
20170829,1328717.17,370644027.3
20170830,1240696.87,371765982.8
20170831,1226189.88,372874742.3
20170901,1249811.8,374004073
20170902,1218971.38,375105638.5
20170903,1177764.47,376170321.1
20170904,1226527.19,377279751.9
20170905,1224854.26,378387047.9
20170906,1255621.89,379516814.3
20170907,1298920.01,380687746.7
20170908,1346496.75,381899231.7
20170909,1321342.12,383082026.5
20170910,1267096.58,384208808.8
20170911,1301334,385370174.1
20170912,1329704.74,386556495.3
20170913,1341027.15,387747442.5
20170914,1318768.84,388921175.4
20170915,1334937.06,390108807.5
20170916,1319258.77,391271999
20170917,1287607.72,392401668.2
20170918,1361507.22,393599889.3
20170919,1336404,394769492.4
20170920,1308329.62,395917564.4
20170921,1311405.68,397063899.4
20170922,1324720.59,398220105.9
20170923,1303732.77,399357136.1
20170924,1287069.85,400470346.9
20170925,1342384.01,401635503.3
20170926,1354092.94,402807017.9
20170927,1330603.76,403958274.4
20170928,1331034.05,405108426.8
20170929,1314813.91,406247151
20170930,1340055.82,407401079.5
20171001,1348821.16,408550360.9
20171002,1308418.94,409659892
20171003,1280292.93,410747760.7
20171004,1245608.05,411802593.5
20171005,1260112.94,412868237.3
20171006,1246397.44,413924676.9
20171007,1238538.55,414974874.8
20171008,1261870.32,416046987.4
20171009,1325992.7,417179566.9
20171010,1370826.23,418349367.2
20171011,1367787.96,419514296.2
20171012,1395631.99,420700500.4
20171013,1355674.3,421850662.3
20171014,1310499.15,422961526.9
20171015,1292813.81,424057043.9
20171016,1343869.82,425199650.7
20171017,1348396.33,426341836.7
20171018,1351551.45,427484045.3
20171019,1352827.98,428624925.2
20171020,1369510.55,429777936.4
20171021,1343720.62,430902298.4
20171022,1330969.62,432013768.7
20171023,1383635.43,433176586.6
20171024,1376076.27,434330625.3
20171025,1367494.2,435478633.8
20171026,1374252.82,436633000.8
20171027,1380792.24,437789152.7
20171028,1349667.75,438917475.4
20171029,1347733.76,440043194.4
20171030,1422962.81,441239117.9
20171031,1413445.06,442419815.1
20171101,1398457.34,443582888.5
20171102,1380509.9,444729699.5
